"codigoestacion","codigosensor","fechaobservacion","valorobservado","nombreestacion","departamento","municipio","zonahidrografica","latitud","longitud","descripcionsensor","unidadmedida"
"0044015501","0103","2023-07-29T12:35:00.000","0","MOCOA  - AUT","PUTUMAYO","MOCOA","CAQUETÁ","1.084997222","-76.70763889","Velocidad Viento (10 min)","m/s"
"0026155502","0103","2023-07-29T15:35:00.000","0","CENICAFE  - AUT","CALDAS","MANIZALES","CAUCA","4.991111111","-75.59749722","Velocidad Viento (10 min)","m/s"
"0024055501","0103","2023-07-29T22:40:00.000","2.941087","CHUCURI  - AUT","SANTANDER","SAN VICENTE DE CHUCURÍ","SOGAMOSO","6.863566667","-73.38411667","Velocidad Viento (10 min)","m/s"
"0021065040","0103","2023-07-29T21:40:00.000","2","ZULUAGA","HUILA","GARZÓN","ALTO MAGDALENA","2.252","-75.529","Velocidad Viento (10 min)","m/s"
"0021065501","0103","2023-07-29T03:05:00.000","0","JORGE VILLAMIL  - AUT","HUILA","GIGANTE","ALTO MAGDALENA","2.325552778","-75.50972222","Velocidad Viento (10 min)","m/s"
"0021165501","0103","2023-07-29T10:40:00.000","5.360373","DOLORES  - AUT","TOLIMA","DOLORES","ALTO MAGDALENA","3.537155556","-74.82982778","Velocidad Viento (10 min)","m/s"
"0026065502","0103","2023-07-29T17:05:00.000","2.633151","TRINIDAD LA  - AUT","CAUCA","PIENDAMÓ","CAUCA","2.750555556","-76.57916667","Velocidad Viento (10 min)","m/s"
"0026205501","0103","2023-07-29T05:35:00.000","0.3466125","EL ROSARIO  - AUT","ANTIOQUIA","VENECIA","CAUCA","5.625830556","-75.70527778","Velocidad Viento (10 min)","m/s"
"0026135501","0103","2023-07-29T20:15:00.000","1.012871","EL PILAMO  - AUT","RISARALDA","PEREIRA","CAUCA","4.868333333","-75.79333333","Velocidad Viento (10 min)","m/s"
"0026135501","0103","2023-07-29T11:20:00.000","0.6953384","EL PILAMO  - AUT","RISARALDA","PEREIRA","CAUCA","4.868333333","-75.79333333","Velocidad Viento (10 min)","m/s"
"0024015501","0103","2023-07-29T07:20:00.000","0","BERTHA  - AUT","BOYACÁ","MONIQUIRÁ","SOGAMOSO","5.882777778","-73.57333056","Velocidad Viento (10 min)","m/s"
"0021025030","0103","2023-07-29T04:50:00.000","3.5","ALTAMIRA EL GRIFO","HUILA","ALTAMIRA","ALTO MAGDALENA","2.079","-75.736","Velocidad Viento (10 min)","m/s"
"0016015502","0103","2023-07-29T11:50:00.000","0.7595165","BLONAY  - AUT","NORTE DE SANTANDER","CHINÁCOTA","CATATUMBO","7.564997222","-72.62110833","Velocidad Viento (10 min)","m/s"
"0023025502","0103","2023-07-29T10:15:00.000","2.914928","ALMACAFE LETRAS  - AUT","CALDAS","MANIZALES","MEDIO MAGDALENA","5.044997222","-75.33221944","Velocidad Viento (10 min)","m/s"
"0044015060","0103","2023-07-29T03:00:00.000","0.6","ACUEDUCTO MOCOA - AUT","PUTUMAYO","MOCOA","CAQUETÁ","1.157333333","-76.65183333","Velocidad Viento (10 min)","m/s"
"0026165501","0103","2023-07-29T09:00:00.000","1.977407","EL CIPRES  - AUT","CALDAS","SALAMINA","CAUCA","5.433333333","-75.5","Velocidad Viento (10 min)","m/s"
"0026075501","0103","2023-07-29T19:55:00.000","1.502431","FLORIDA  - AUT","VALLE DEL CAUCA","FLORIDA","CAUCA","3.291469444","-76.17735833","Velocidad Viento (10 min)","m/s"
"0023025040","0103","2023-07-29T20:30:00.000","3","ALBANIA","TOLIMA","MARIQUITA","MEDIO MAGDALENA","5.286","-74.903","Velocidad Viento (10 min)","m/s"
"0021185501","0103","2023-07-29T09:40:00.000","1.902009","ROVIRA  - AUT","TOLIMA","ROVIRA","ALTO MAGDALENA","4.266666667","-75.28305556","Velocidad Viento (10 min)","m/s"
"0023085501","0103","2023-07-29T15:25:00.000","0.2586581","COCORNA  - AUT","ANTIOQUIA","COCORNÁ","MEDIO MAGDALENA","6.061941667","-75.18666667","Velocidad Viento (10 min)","m/s"
"0026125508","0103","2023-07-29T10:20:00.000","1.663223","LACATALINA  - AUT","RISARALDA","PEREIRA","CAUCA","4.7475","-75.73805556","Velocidad Viento (10 min)","m/s"
"0053115502","0103","2023-07-29T19:35:00.000","1.763157","JULIO FERNANDEZ  - AUT","VALLE DEL CAUCA","RESTREPO","TAPAJE - DAGUA - DIRECTOS","3.809163889","-76.53305556","Velocidad Viento (10 min)","m/s"
"0024015503","0103","2023-07-29T00:55:00.000","0.7654222","CONFINES  - AUT","SANTANDER","CONFINES","SOGAMOSO","6.373027778","-73.20760833","Velocidad Viento (10 min)","m/s"
"0026125506","0103","2023-07-29T23:05:00.000","0.2076281","EL AGRADO  - AUT","QUINDÍO","MONTENEGRO","CAUCA","4.518333333","-75.7925","Velocidad Viento (10 min)","m/s"
"0026165501","0103","2023-07-29T17:55:00.000","2.073407","EL CIPRES  - AUT","CALDAS","SALAMINA","CAUCA","5.433333333","-75.5","Velocidad Viento (10 min)","m/s"
"0026165501","0103","2023-07-29T10:15:00.000","2.164967","EL CIPRES  - AUT","CALDAS","SALAMINA","CAUCA","5.433333333","-75.5","Velocidad Viento (10 min)","m/s"
"0021140120","0103","2023-07-29T17:40:00.000","4.8","CRUCES LAS","TOLIMA","ALPUJARRA","ALTO MAGDALENA","3.426","-74.92","Velocidad Viento (10 min)","m/s"
