"codigoestacion","codigosensor","fechaobservacion","valorobservado","nombreestacion","departamento","municipio","zonahidrografica","latitud","longitud","descripcionsensor","unidadmedida"
"0013035501","0103","2023-07-29T07:00:00.000","1","APTO LOS GARZONES","CÓRDOBA","MONTERÍA","SINÚ","8.826","-75.825","Velocidad Viento (10 min)","m/s"
"0015085030","0103","2023-07-29T23:40:00.000","2.7","ESCUELA AGRICOLA CARRAIPIA  - AUT","LA GUAJIRA","MAICAO","CARIBE - GUAJIRA","11.21675","-72.35994444","Velocidad Viento (10 min)","m/s"
"0023085501","0103","2023-07-29T09:25:00.000","0.5425137","COCORNA  - AUT","ANTIOQUIA","COCORNÁ","MEDIO MAGDALENA","6.061941667","-75.18666667","Velocidad Viento (10 min)","m/s"
"0053115502","0103","2023-07-29T20:50:00.000","2.50975","JULIO FERNANDEZ  - AUT","VALLE DEL CAUCA","RESTREPO","TAPAJE - DAGUA - DIRECTOS","3.809163889","-76.53305556","Velocidad Viento (10 min)","m/s"
"0025025380","0103","2023-07-29T13:10:00.000","1.2","SAN BENITO ABAD - LA MOJANA TX GPRS/GOES","SUCRE","SAN BENITO ABAD","BAJO MAGDALENA- CAUCA -SAN JORGE","9.164","-75.045","Velocidad Viento (10 min)","m/s"
"0026135502","0103","2023-07-29T00:00:00.000","1.440227","EL JAZMIN  - AUT","RISARALDA","SANTA ROSA DE CABAL","CAUCA","4.911944444","-75.62416389","Velocidad Viento (10 min)","m/s"
"0016055501","0103","2023-07-29T21:50:00.000","0","GABRIEL MARIA  - AUT","NORTE DE SANTANDER","CONVENCIÓN","CATATUMBO","8.412497222","-73.33944167","Velocidad Viento (10 min)","m/s"
"0022045502","0103","2023-07-29T11:15:00.000","1.558245","EL RUBY  - AUT","TOLIMA","PLANADAS","SALDAÑA","3.95","-75.66666667","Velocidad Viento (10 min)","m/s"
"0026155502","0103","2023-07-29T17:55:00.000","0","CENICAFE  - AUT","CALDAS","MANIZALES","CAUCA","4.991111111","-75.59749722","Velocidad Viento (10 min)","m/s"
"0048015040","0103","2023-07-29T08:00:00.000","1.3","PTO NARIÑO","AMAZONAS","PUERTO NARIÑO","AMAZONAS - DIRECTOS","-3.78","-70.363","Velocidad Viento (10 min)","m/s"
"0026175501","0103","2023-07-29T13:50:00.000","1.459325","RAFAEL ESCOBAR  - AUT","CALDAS","SUPIA","CAUCA","5.45","-75.63305556","Velocidad Viento (10 min)","m/s"
"0023065120","0103","2023-07-29T00:00:00.000","3.5","CABRERA LA","CUNDINAMARCA","PACHO","MEDIO MAGDALENA","5.142","-74.139","Velocidad Viento (10 min)","m/s"
"0035095130","0103","2023-07-29T09:30:00.000","2.6","LAGUNA DE LA PLAZA","ARAUCA","SARAVENA","CASANARE","6.362","-72.282","Velocidad Viento (10 min)","m/s"
"0026075501","0103","2023-07-29T15:55:00.000","3.383742","FLORIDA  - AUT","VALLE DEL CAUCA","FLORIDA","CAUCA","3.291469444","-76.17735833","Velocidad Viento (10 min)","m/s"
"0035165000","0103","2023-07-29T03:10:00.000","3.5","EL TUNEL","BOYACÁ","CUÍTIVA","META","5.575","-72.941","Velocidad Viento (10 min)","m/s"
"0021165501","0103","2023-07-29T11:10:00.000","6.763453","DOLORES  - AUT","TOLIMA","DOLORES","ALTO MAGDALENA","3.537155556","-74.82982778","Velocidad Viento (10 min)","m/s"
"0026205501","0103","2023-07-29T01:25:00.000","0.3142757","EL ROSARIO  - AUT","ANTIOQUIA","VENECIA","CAUCA","5.625830556","-75.70527778","Velocidad Viento (10 min)","m/s"
"0021055501","0103","2023-07-29T03:45:00.000","0.2755319","SIMON CAMPOS  - AUT","HUILA","LA PLATA","ALTO MAGDALENA","2.345830556","-75.87805556","Velocidad Viento (10 min)","m/s"
"0026125504","0103","2023-07-29T06:10:00.000","0","PARAGUAICITO  - AUT","QUINDÍO","BUENAVISTA","CAUCA","4.395555556","-75.73416667","Velocidad Viento (10 min)","m/s"
"0044055010","0103","2023-07-29T15:00:00.000","3.8","TRES ESQUINAS","CAQUETA","SOLANO","CAQUETÁ","0.738","-75.236","Velocidad Viento (10 min)","m/s"
"0021255501","0103","2023-07-29T05:30:00.000","1.414596","LA TRINIDAD  - AUT","TOLIMA","LÍBANO","ALTO MAGDALENA","4.895","-75.04","Velocidad Viento (10 min)","m/s"
"0026145504","0103","2023-07-29T05:20:00.000","0.2674199","OSPIRMA  - AUT","RISARALDA","GUÁTICA","CAUCA","5.325552778","-75.812775","Velocidad Viento (10 min)","m/s"
"0026185501","0103","2023-07-29T15:30:00.000","1.868062","SONSON  - AUT","ANTIOQUIA","SONSÓN","CAUCA","5.677719444","-75.34780556","Velocidad Viento (10 min)","m/s"
"0021165501","0103","2023-07-29T18:00:00.000","7.95202","DOLORES  - AUT","TOLIMA","DOLORES","ALTO MAGDALENA","3.537155556","-74.82982778","Velocidad Viento (10 min)","m/s"
"0021105050","0103","2023-07-29T00:20:00.000","4.8","ROSALES LOS","HUILA","CAMPOALEGRE","ALTO MAGDALENA","2.603","-75.418","Velocidad Viento (10 min)","m/s"
"0026205501","0103","2023-07-29T07:10:00.000","0","EL ROSARIO  - AUT","ANTIOQUIA","VENECIA","CAUCA","5.625830556","-75.70527778","Velocidad Viento (10 min)","m/s"
"0021025030","0103","2023-07-29T09:40:00.000","3.2","ALTAMIRA EL GRIFO","HUILA","ALTAMIRA","ALTO MAGDALENA","2.079","-75.736","Velocidad Viento (10 min)","m/s"
"0044055010","0103","2023-07-29T16:10:00.000","2.6","TRES ESQUINAS","CAQUETA","SOLANO","CAQUETÁ","0.738","-75.236","Velocidad Viento (10 min)","m/s"
"0026175501","0103","2023-07-29T01:55:00.000","1.045601","RAFAEL ESCOBAR  - AUT","CALDAS","SUPIA","CAUCA","5.45","-75.63305556","Velocidad Viento (10 min)","m/s"
"0024055501","0103","2023-07-29T00:20:00.000","2.495289","CHUCURI  - AUT","SANTANDER","SAN VICENTE DE CHUCURÍ","SOGAMOSO","6.863566667","-73.38411667","Velocidad Viento (10 min)","m/s"
"0053115502","0103","2023-07-29T10:15:00.000","1.300712","JULIO FERNANDEZ  - AUT","VALLE DEL CAUCA","RESTREPO","TAPAJE - DAGUA - DIRECTOS","3.809163889","-76.53305556","Velocidad Viento (10 min)","m/s"
"0026085501","0103","2023-07-29T07:20:00.000","0","LA CELIA  - AUT","RISARALDA","LA CELIA","CAUCA","5.001330556","-75.998","Velocidad Viento (10 min)","m/s"
"0021255501","0103","2023-07-29T11:25:00.000","1.231423","LA TRINIDAD  - AUT","TOLIMA","LÍBANO","ALTO MAGDALENA","4.895","-75.04","Velocidad Viento (10 min)","m/s"
"0021055501","0103","2023-07-29T10:10:00.000","4.96463","SIMON CAMPOS  - AUT","HUILA","LA PLATA","ALTO MAGDALENA","2.345830556","-75.87805556","Velocidad Viento (10 min)","m/s"
"0021015502","0103","2023-07-29T15:50:00.000","1.450325","SAN AGUSTIN  - AUT","HUILA","SAN AGUSTÍN","ALTO MAGDALENA","1.851416667","-76.30433056","Velocidad Viento (10 min)","m/s"
"0035020300","0103","2023-07-29T00:50:00.000","1","GUTIERREZ","CUNDINAMARCA","GUTIÉRREZ","META","4.254","-74.003","Velocidad Viento (10 min)","m/s"
"1508500053","0103","2023-07-29T01:10:00.000","5.7","PUERTO ESTRELLA - AUT","LA GUAJIRA","URIBIA","CARIBE - GUAJIRA","12.339194444","-71.345080556","Velocidad Viento (10 min)","m/s"
"0021115501","0103","2023-07-29T03:50:00.000","0.004808648","TELLO  - AUT","HUILA","TELLO","ALTO MAGDALENA","2.960666667","-75.02849722","Velocidad Viento (10 min)","m/s"
"0048015040","0103","2023-07-29T20:40:00.000","0.7","PTO NARIÑO","AMAZONAS","PUERTO NARIÑO","AMAZONAS - DIRECTOS","-3.78","-70.363","Velocidad Viento (10 min)","m/s"
"0026175501","0103","2023-07-29T22:15:00.000","0.7953561","RAFAEL ESCOBAR  - AUT","CALDAS","SUPIA","CAUCA","5.45","-75.63305556","Velocidad Viento (10 min)","m/s"
"0023025502","0103","2023-07-29T11:05:00.000","2.541085","ALMACAFE LETRAS  - AUT","CALDAS","MANIZALES","MEDIO MAGDALENA","5.044997222","-75.33221944","Velocidad Viento (10 min)","m/s"
"0021105050","0103","2023-07-29T09:00:00.000","6.8","ROSALES LOS","HUILA","CAMPOALEGRE","ALTO MAGDALENA","2.603","-75.418","Velocidad Viento (10 min)","m/s"
"0021015502","0103","2023-07-29T19:25:00.000","0","SAN AGUSTIN  - AUT","HUILA","SAN AGUSTÍN","ALTO MAGDALENA","1.851416667","-76.30433056","Velocidad Viento (10 min)","m/s"
"0021215501","0103","2023-07-29T11:35:00.000","0.8518437","ESPERANZA LA  - AUT","TOLIMA","IBAGUÉ","ALTO MAGDALENA","4.45","-75.25","Velocidad Viento (10 min)","m/s"
"0026145504","0103","2023-07-29T04:20:00.000","1.767125","OSPIRMA  - AUT","RISARALDA","GUÁTICA","CAUCA","5.325552778","-75.812775","Velocidad Viento (10 min)","m/s"
"0053115502","0103","2023-07-29T21:55:00.000","1.76819","JULIO FERNANDEZ  - AUT","VALLE DEL CAUCA","RESTREPO","TAPAJE - DAGUA - DIRECTOS","3.809163889","-76.53305556","Velocidad Viento (10 min)","m/s"
"0026075501","0103","2023-07-29T01:20:00.000","0","FLORIDA  - AUT","VALLE DEL CAUCA","FLORIDA","CAUCA","3.291469444","-76.17735833","Velocidad Viento (10 min)","m/s"
"0021205502","0103","2023-07-29T14:55:00.000","2.296557","MISIONES  - AUT","CUNDINAMARCA","EL COLEGIO","ALTO MAGDALENA","4.544997222","-74.44055556","Velocidad Viento (10 min)","m/s"
"0026075501","0103","2023-07-29T12:20:00.000","1.986915","FLORIDA  - AUT","VALLE DEL CAUCA","FLORIDA","CAUCA","3.291469444","-76.17735833","Velocidad Viento (10 min)","m/s"
"0054035501","0103","2023-07-29T07:55:00.000","0.5986264","SANTIAGO GUTIERREZ  - AUT","VALLE DEL CAUCA","ARGELIA","SAN JUÁN","4.726388889","-76.11446944","Velocidad Viento (10 min)","m/s"
"0023085501","0103","2023-07-29T04:20:00.000","0","COCORNA  - AUT","ANTIOQUIA","COCORNÁ","MEDIO MAGDALENA","6.061941667","-75.18666667","Velocidad Viento (10 min)","m/s"
"0026135503","0103","2023-07-29T09:25:00.000","0.9510382","NARANJAL  - AUT","CALDAS","CHINCHINA","CAUCA","4.971944444","-75.65221944","Velocidad Viento (10 min)","m/s"
"0026155502","0103","2023-07-29T15:00:00.000","0.2766834","CENICAFE  - AUT","CALDAS","MANIZALES","CAUCA","4.991111111","-75.59749722","Velocidad Viento (10 min)","m/s"
"0016025503","0103","2023-07-29T01:35:00.000","1.780776","GRAMALOTE  - AUT","NORTE DE SANTANDER","GRAMALOTE","CATATUMBO","7.923163889","-72.83375556","Velocidad Viento (10 min)","m/s"
"0044035501","0103","2023-07-29T05:25:00.000","0","PAUJIL  - AUT","CAQUETA","EL PAUJIL","CAQUETÁ","1.573819444","-75.3402","Velocidad Viento (10 min)","m/s"
"0026145501","0103","2023-07-29T18:45:00.000","8.334846","APIA  - AUT","RISARALDA","APÍA","CAUCA","5.105055556","-75.93305556","Velocidad Viento (10 min)","m/s"
"0052015501","0103","2023-07-29T16:20:00.000","1.66723","BALBOA  - AUT","CAUCA","BALBOA","PATÍA","2.125191667","-77.19266667","Velocidad Viento (10 min)","m/s"
"0026125508","0103","2023-07-29T14:25:00.000","2.218219","LACATALINA  - AUT","RISARALDA","PEREIRA","CAUCA","4.7475","-75.73805556","Velocidad Viento (10 min)","m/s"
"1508500053","0103","2023-07-29T10:50:00.000","8.3","PUERTO ESTRELLA - AUT","LA GUAJIRA","URIBIA","CARIBE - GUAJIRA","12.339194444","-71.345080556","Velocidad Viento (10 min)","m/s"
"0021205502","0103","2023-07-29T11:05:00.000","0.7016727","MISIONES  - AUT","CUNDINAMARCA","EL COLEGIO","ALTO MAGDALENA","4.544997222","-74.44055556","Velocidad Viento (10 min)","m/s"
"0035225030","0103","2023-07-29T22:40:00.000","1.9","PERENCO: MODULOS","CASANARE","OROCUÉ","META","4.91","-71.433","Velocidad Viento (10 min)","m/s"
"0035215020","0103","2023-07-29T02:00:00.000","0.2","APTO YOPAL","CASANARE","YOPAL","META","5.32","-72.388","Velocidad Viento (10 min)","m/s"
"0021065040","0103","2023-07-29T02:30:00.000","0.3","ZULUAGA","HUILA","GARZÓN","ALTO MAGDALENA","2.252","-75.529","Velocidad Viento (10 min)","m/s"
"0026075501","0103","2023-07-29T10:15:00.000","3.032528","FLORIDA  - AUT","VALLE DEL CAUCA","FLORIDA","CAUCA","3.291469444","-76.17735833","Velocidad Viento (10 min)","m/s"
"0026165501","0103","2023-07-29T09:25:00.000","2.096799","EL CIPRES  - AUT","CALDAS","SALAMINA","CAUCA","5.433333333","-75.5","Velocidad Viento (10 min)","m/s"
"0044055010","0103","2023-07-29T17:20:00.000","2.4","TRES ESQUINAS","CAQUETA","SOLANO","CAQUETÁ","0.738","-75.236","Velocidad Viento (10 min)","m/s"
"0021115501","0103","2023-07-29T07:45:00.000","0.003040325","TELLO  - AUT","HUILA","TELLO","ALTO MAGDALENA","2.960666667","-75.02849722","Velocidad Viento (10 min)","m/s"
"0026145501","0103","2023-07-29T21:00:00.000","5.827293","APIA  - AUT","RISARALDA","APÍA","CAUCA","5.105055556","-75.93305556","Velocidad Viento (10 min)","m/s"
"0016055501","0103","2023-07-29T18:55:00.000","1.457643","GABRIEL MARIA  - AUT","NORTE DE SANTANDER","CONVENCIÓN","CATATUMBO","8.412497222","-73.33944167","Velocidad Viento (10 min)","m/s"
"0021105050","0103","2023-07-29T06:10:00.000","6.9","ROSALES LOS","HUILA","CAMPOALEGRE","ALTO MAGDALENA","2.603","-75.418","Velocidad Viento (10 min)","m/s"
"0016025503","0103","2023-07-29T13:10:00.000","2.424942","GRAMALOTE  - AUT","NORTE DE SANTANDER","GRAMALOTE","CATATUMBO","7.923163889","-72.83375556","Velocidad Viento (10 min)","m/s"
"0053115502","0103","2023-07-29T07:20:00.000","1.223339","JULIO FERNANDEZ  - AUT","VALLE DEL CAUCA","RESTREPO","TAPAJE - DAGUA - DIRECTOS","3.809163889","-76.53305556","Velocidad Viento (10 min)","m/s"
"0024015503","0103","2023-07-29T15:05:00.000","2.253919","CONFINES  - AUT","SANTANDER","CONFINES","SOGAMOSO","6.373027778","-73.20760833","Velocidad Viento (10 min)","m/s"
"0035235010","0103","2023-07-29T04:10:00.000","4.6","CARDON EL","BOYACÁ","SOCOTÁ","META","6.012","-72.529","Velocidad Viento (10 min)","m/s"
"0016015502","0103","2023-07-29T17:15:00.000","0.7117588","BLONAY  - AUT","NORTE DE SANTANDER","CHINÁCOTA","CATATUMBO","7.564997222","-72.62110833","Velocidad Viento (10 min)","m/s"
"0026165501","0103","2023-07-29T15:35:00.000","2.519886","EL CIPRES  - AUT","CALDAS","SALAMINA","CAUCA","5.433333333","-75.5","Velocidad Viento (10 min)","m/s"
"0052055090","0103","2023-07-29T17:50:00.000","2","SINDAGUA","NARIÑO","TANGUA","PATÍA","1.108","-77.389","Velocidad Viento (10 min)","m/s"
"0021255501","0103","2023-07-29T03:30:00.000","0.5589361","LA TRINIDAD  - AUT","TOLIMA","LÍBANO","ALTO MAGDALENA","4.895","-75.04","Velocidad Viento (10 min)","m/s"
"0026165501","0103","2023-07-29T13:15:00.000","2.894099","EL CIPRES  - AUT","CALDAS","SALAMINA","CAUCA","5.433333333","-75.5","Velocidad Viento (10 min)","m/s"
"0026145504","0103","2023-07-29T05:05:00.000","0.6997198","OSPIRMA  - AUT","RISARALDA","GUÁTICA","CAUCA","5.325552778","-75.812775","Velocidad Viento (10 min)","m/s"
"0021055501","0103","2023-07-29T00:40:00.000","1.271738","SIMON CAMPOS  - AUT","HUILA","LA PLATA","ALTO MAGDALENA","2.345830556","-75.87805556","Velocidad Viento (10 min)","m/s"
"0026125508","0103","2023-07-29T20:55:00.000","1.141963","LACATALINA  - AUT","RISARALDA","PEREIRA","CAUCA","4.7475","-75.73805556","Velocidad Viento (10 min)","m/s"
"0021105040","0103","2023-07-29T17:30:00.000","0.9","POTOSI HACIENDA","HUILA","CAMPOALEGRE","ALTO MAGDALENA","2.697","-75.299","Velocidad Viento (10 min)","m/s"
"0025025240","0103","2023-07-29T03:30:00.000","0.8","MAJAGUAL","BOLIVAR","ACHÍ","BAJO MAGDALENA- CAUCA -SAN JORGE","8.544","-74.543","Velocidad Viento (10 min)","m/s"
"0035165000","0103","2023-07-29T17:40:00.000","3.2","EL TUNEL","BOYACÁ","CUÍTIVA","META","5.575","-72.941","Velocidad Viento (10 min)","m/s"
"0044015060","0103","2023-07-29T15:00:00.000","0.7","ACUEDUCTO MOCOA - AUT","PUTUMAYO","MOCOA","CAQUETÁ","1.157333333","-76.65183333","Velocidad Viento (10 min)","m/s"
"0026145501","0103","2023-07-29T08:05:00.000","0","APIA  - AUT","RISARALDA","APÍA","CAUCA","5.105055556","-75.93305556","Velocidad Viento (10 min)","m/s"
"0026075501","0103","2023-07-29T06:50:00.000","0.2292577","FLORIDA  - AUT","VALLE DEL CAUCA","FLORIDA","CAUCA","3.291469444","-76.17735833","Velocidad Viento (10 min)","m/s"
"0026175501","0103","2023-07-29T02:25:00.000","0","RAFAEL ESCOBAR  - AUT","CALDAS","SUPIA","CAUCA","5.45","-75.63305556","Velocidad Viento (10 min)","m/s"
"0022045502","0103","2023-07-29T04:15:00.000","0.8480938","EL RUBY  - AUT","TOLIMA","PLANADAS","SALDAÑA","3.95","-75.66666667","Velocidad Viento (10 min)","m/s"
"0052055501","0103","2023-07-29T11:35:00.000","3.882102","OSPINA PEREZ  - AUT","NARIÑO","CONSACÁ","PATÍA","1.254722222","-77.48777778","Velocidad Viento (10 min)","m/s"
"0011030010","0103","2023-07-29T12:00:00.000","0.8","PR CHOCO: CERTEGUI","CHOCÓ","CÉRTEGUI","ATRATO - DARIÉN","5.375","-76.613","Velocidad Viento (10 min)","m/s"
"0022070030","0103","2023-07-29T11:30:00.000","1.5","SANTA HELENA","TOLIMA","RONCESVALLES","SALDAÑA","4.125","-75.5","Velocidad Viento (10 min)","m/s"
"0053115502","0103","2023-07-29T10:30:00.000","1.363703","JULIO FERNANDEZ  - AUT","VALLE DEL CAUCA","RESTREPO","TAPAJE - DAGUA - DIRECTOS","3.809163889","-76.53305556","Velocidad Viento (10 min)","m/s"
"0023025501","0103","2023-07-29T04:15:00.000","2.644243","MANZANARES  - AUT","CALDAS","MANZANARES","MEDIO MAGDALENA","5.163913889","-75.11740833","Velocidad Viento (10 min)","m/s"
"0053115502","0103","2023-07-29T19:30:00.000","1.496382","JULIO FERNANDEZ  - AUT","VALLE DEL CAUCA","RESTREPO","TAPAJE - DAGUA - DIRECTOS","3.809163889","-76.53305556","Velocidad Viento (10 min)","m/s"
"0025025240","0103","2023-07-29T12:50:00.000","1","MAJAGUAL","BOLIVAR","ACHÍ","BAJO MAGDALENA- CAUCA -SAN JORGE","8.544","-74.543","Velocidad Viento (10 min)","m/s"
"0035020300","0103","2023-07-29T22:20:00.000","0.1","GUTIERREZ","CUNDINAMARCA","GUTIÉRREZ","META","4.254","-74.003","Velocidad Viento (10 min)","m/s"
"0054035501","0103","2023-07-29T13:55:00.000","1.952051","SANTIAGO GUTIERREZ  - AUT","VALLE DEL CAUCA","ARGELIA","SAN JUÁN","4.726388889","-76.11446944","Velocidad Viento (10 min)","m/s"
"0021055501","0103","2023-07-29T19:05:00.000","0.05780955","SIMON CAMPOS  - AUT","HUILA","LA PLATA","ALTO MAGDALENA","2.345830556","-75.87805556","Velocidad Viento (10 min)","m/s"
"0026135501","0103","2023-07-29T15:20:00.000","0.7161798","EL PILAMO  - AUT","RISARALDA","PEREIRA","CAUCA","4.868333333","-75.79333333","Velocidad Viento (10 min)","m/s"
"0026205501","0103","2023-07-29T12:20:00.000","2.044438","EL ROSARIO  - AUT","ANTIOQUIA","VENECIA","CAUCA","5.625830556","-75.70527778","Velocidad Viento (10 min)","m/s"
"0023025502","0103","2023-07-29T00:35:00.000","2.148803","ALMACAFE LETRAS  - AUT","CALDAS","MANIZALES","MEDIO MAGDALENA","5.044997222","-75.33221944","Velocidad Viento (10 min)","m/s"
"0026135502","0103","2023-07-29T02:50:00.000","0.5318425","EL JAZMIN  - AUT","RISARALDA","SANTA ROSA DE CABAL","CAUCA","4.911944444","-75.62416389","Velocidad Viento (10 min)","m/s"
"0026175501","0103","2023-07-29T22:40:00.000","0.8977715","RAFAEL ESCOBAR  - AUT","CALDAS","SUPIA","CAUCA","5.45","-75.63305556","Velocidad Viento (10 min)","m/s"
"0026185501","0103","2023-07-29T21:05:00.000","2.47519","SONSON  - AUT","ANTIOQUIA","SONSÓN","CAUCA","5.677719444","-75.34780556","Velocidad Viento (10 min)","m/s"
"0023025501","0103","2023-07-29T00:35:00.000","2.493336","MANZANARES  - AUT","CALDAS","MANZANARES","MEDIO MAGDALENA","5.163913889","-75.11740833","Velocidad Viento (10 min)","m/s"
"0021205670","0103","2023-07-29T09:30:00.000","1.7","FLORIDA LA","CUNDINAMARCA","ANOLAIMA","ALTO MAGDALENA","4.771","-74.438","Velocidad Viento (10 min)","m/s"
"0021185080","0103","2023-07-29T22:40:00.000","0.2","VALLE DE SAN JUAN","TOLIMA","VALLE DE SAN JUAN","ALTO MAGDALENA","4.216","-75.105","Velocidad Viento (10 min)","m/s"
"0028045501","0103","2023-07-29T04:10:00.000","0","PUEBLO BELLO  - AUT","CESAR","PUEBLO BELLO","CESAR","10.42166667","-73.57471944","Velocidad Viento (10 min)","m/s"
"0026125502","0103","2023-07-29T08:55:00.000","2.286076","CAICEDONIA  - AUT","VALLE DEL CAUCA","CAICEDONIA","CAUCA","4.297558333","-75.86396111","Velocidad Viento (10 min)","m/s"
"0024015501","0103","2023-07-29T05:55:00.000","0","BERTHA  - AUT","BOYACÁ","MONIQUIRÁ","SOGAMOSO","5.882777778","-73.57333056","Velocidad Viento (10 min)","m/s"
"0022070030","0103","2023-07-29T00:40:00.000","2.8","SANTA HELENA","TOLIMA","RONCESVALLES","SALDAÑA","4.125","-75.5","Velocidad Viento (10 min)","m/s"
"0044055010","0103","2023-07-29T18:00:00.000","1.4","TRES ESQUINAS","CAQUETA","SOLANO","CAQUETÁ","0.738","-75.236","Velocidad Viento (10 min)","m/s"
"0026135501","0103","2023-07-29T18:20:00.000","0","EL PILAMO  - AUT","RISARALDA","PEREIRA","CAUCA","4.868333333","-75.79333333","Velocidad Viento (10 min)","m/s"
"0024055501","0103","2023-07-29T01:30:00.000","3.271285","CHUCURI  - AUT","SANTANDER","SAN VICENTE DE CHUCURÍ","SOGAMOSO","6.863566667","-73.38411667","Velocidad Viento (10 min)","m/s"
"0021035040","0103","2023-07-29T04:40:00.000","2.1","LIBANO EL","HUILA","SUAZA","ALTO MAGDALENA","1.868","-75.828","Velocidad Viento (10 min)","m/s"
"0026135502","0103","2023-07-29T04:55:00.000","1.158979","EL JAZMIN  - AUT","RISARALDA","SANTA ROSA DE CABAL","CAUCA","4.911944444","-75.62416389","Velocidad Viento (10 min)","m/s"
"0021185501","0103","2023-07-29T06:25:00.000","0","ROVIRA  - AUT","TOLIMA","ROVIRA","ALTO MAGDALENA","4.266666667","-75.28305556","Velocidad Viento (10 min)","m/s"
"0021165501","0103","2023-07-29T20:35:00.000","6.430743","DOLORES  - AUT","TOLIMA","DOLORES","ALTO MAGDALENA","3.537155556","-74.82982778","Velocidad Viento (10 min)","m/s"
"0028045501","0103","2023-07-29T12:35:00.000","2.201846","PUEBLO BELLO  - AUT","CESAR","PUEBLO BELLO","CESAR","10.42166667","-73.57471944","Velocidad Viento (10 min)","m/s"
"0022045502","0103","2023-07-29T12:20:00.000","0.9630685","EL RUBY  - AUT","TOLIMA","PLANADAS","SALDAÑA","3.95","-75.66666667","Velocidad Viento (10 min)","m/s"
"0015065180","0103","2023-07-29T15:10:00.000","4.6","APTO ALMIRANTE PADILLA TX GPRS","LA GUAJIRA","RIOHACHA","CARIBE - GUAJIRA","11.53","-72.918","Velocidad Viento (10 min)","m/s"
"0026125502","0103","2023-07-29T14:20:00.000","1.712511","CAICEDONIA  - AUT","VALLE DEL CAUCA","CAICEDONIA","CAUCA","4.297558333","-75.86396111","Velocidad Viento (10 min)","m/s"
"0029045190","0103","2023-07-29T23:00:00.000","5.4","APTO ERNESTO CORTIZOS TX GPRS","ATLÁNTICO","SOLEDAD","BAJO MAGDALENA","10.918","-74.78","Velocidad Viento (10 min)","m/s"
"0026175501","0103","2023-07-29T15:05:00.000","1.368936","RAFAEL ESCOBAR  - AUT","CALDAS","SUPIA","CAUCA","5.45","-75.63305556","Velocidad Viento (10 min)","m/s"
"0021025030","0103","2023-07-29T23:40:00.000","4.4","ALTAMIRA EL GRIFO","HUILA","ALTAMIRA","ALTO MAGDALENA","2.079","-75.736","Velocidad Viento (10 min)","m/s"
"0026125508","0103","2023-07-29T09:45:00.000","1.481212","LACATALINA  - AUT","RISARALDA","PEREIRA","CAUCA","4.7475","-75.73805556","Velocidad Viento (10 min)","m/s"
"0023195502","0103","2023-07-29T16:20:00.000","1.4","APTO PALONEGRO","SANTANDER","LEBRIJA","MEDIO MAGDALENA","7.121","-73.185","Velocidad Viento (10 min)","m/s"
"0026125506","0103","2023-07-29T11:35:00.000","0.4901725","EL AGRADO  - AUT","QUINDÍO","MONTENEGRO","CAUCA","4.518333333","-75.7925","Velocidad Viento (10 min)","m/s"
"0052055501","0103","2023-07-29T06:30:00.000","0.4584913","OSPINA PEREZ  - AUT","NARIÑO","CONSACÁ","PATÍA","1.254722222","-77.48777778","Velocidad Viento (10 min)","m/s"
"0026125504","0103","2023-07-29T14:25:00.000","0.3373891","PARAGUAICITO  - AUT","QUINDÍO","BUENAVISTA","CAUCA","4.395555556","-75.73416667","Velocidad Viento (10 min)","m/s"
"0035020300","0103","2023-07-29T12:40:00.000","0.7","GUTIERREZ","CUNDINAMARCA","GUTIÉRREZ","META","4.254","-74.003","Velocidad Viento (10 min)","m/s"
"0035260050","0103","2023-07-29T16:50:00.000","1.7","VUELTA MALA","VICHADA","LA PRIMAVERA","META","5.561","-70.281","Velocidad Viento (10 min)","m/s"
"0015085030","0103","2023-07-29T15:50:00.000","6.2","ESCUELA AGRICOLA CARRAIPIA  - AUT","LA GUAJIRA","MAICAO","CARIBE - GUAJIRA","11.21675","-72.35994444","Velocidad Viento (10 min)","m/s"
"0026065501","0103","2023-07-29T08:55:00.000","1.787848","JAMUNDI  - AUT","VALLE DEL CAUCA","JAMUNDÍ","CAUCA","3.215580556","-76.68021944","Velocidad Viento (10 min)","m/s"
"0022055020","0103","2023-07-29T12:20:00.000","2.2","MESA DE POLE","TOLIMA","ATACO","SALDAÑA","3.456","-75.536","Velocidad Viento (10 min)","m/s"
"0026145501","0103","2023-07-29T17:00:00.000","9.683406","APIA  - AUT","RISARALDA","APÍA","CAUCA","5.105055556","-75.93305556","Velocidad Viento (10 min)","m/s"
"0011030010","0103","2023-07-29T01:10:00.000","0.8","PR CHOCO: CERTEGUI","CHOCÓ","CÉRTEGUI","ATRATO - DARIÉN","5.375","-76.613","Velocidad Viento (10 min)","m/s"
"0053115502","0103","2023-07-29T22:35:00.000","1.860169","JULIO FERNANDEZ  - AUT","VALLE DEL CAUCA","RESTREPO","TAPAJE - DAGUA - DIRECTOS","3.809163889","-76.53305556","Velocidad Viento (10 min)","m/s"
"0053115502","0103","2023-07-29T06:15:00.000","0.7603616","JULIO FERNANDEZ  - AUT","VALLE DEL CAUCA","RESTREPO","TAPAJE - DAGUA - DIRECTOS","3.809163889","-76.53305556","Velocidad Viento (10 min)","m/s"
